# DRO_SourceID DetLink DetSlot DetCrate DetID DRO_Host DRO_Card DRO_SLR DRO_Link
323 0 11 26 3 pc-tbed-tpu-05014 0 0 11
324 0 0 27 3 pc-tbed-tpu-05014 1 0 0
325 0 1 27 3 pc-tbed-tpu-05014 1 0 1
326 0 2 27 3 pc-tbed-tpu-05014 1 0 2
327 0 3 27 3 pc-tbed-tpu-05014 1 0 3
328 0 4 27 3 pc-tbed-tpu-05014 1 0 4
329 0 5 27 3 pc-tbed-tpu-05014 1 0 5
330 0 6 27 3 pc-tbed-tpu-05014 1 0 6
331 0 7 27 3 pc-tbed-tpu-05014 1 0 7
332 0 8 27 3 pc-tbed-tpu-05014 1 0 8
333 0 9 27 3 pc-tbed-tpu-05014 1 0 9
334 0 10 27 3 pc-tbed-tpu-05014 1 0 10
335 0 11 27 3 pc-tbed-tpu-05014 1 0 11
336 0 0 28 3 pc-tbed-tpu-05015 0 0 0
337 0 1 28 3 pc-tbed-tpu-05015 0 0 1
338 0 2 28 3 pc-tbed-tpu-05015 0 0 2
339 0 3 28 3 pc-tbed-tpu-05015 0 0 3
340 0 4 28 3 pc-tbed-tpu-05015 0 0 4
341 0 5 28 3 pc-tbed-tpu-05015 0 0 5
342 0 6 28 3 pc-tbed-tpu-05015 0 0 6
343 0 7 28 3 pc-tbed-tpu-05015 0 0 7
344 0 8 28 3 pc-tbed-tpu-05015 0 0 8
345 0 9 28 3 pc-tbed-tpu-05015 0 0 9
346 0 10 28 3 pc-tbed-tpu-05015 0 0 10
347 0 11 28 3 pc-tbed-tpu-05015 0 0 11
348 0 0 29 3 pc-tbed-tpu-05015 1 0 0
349 0 1 29 3 pc-tbed-tpu-05015 1 0 1
350 0 2 29 3 pc-tbed-tpu-05015 1 0 2
351 0 3 29 3 pc-tbed-tpu-05015 1 0 3
352 0 4 29 3 pc-tbed-tpu-05015 1 0 4
353 0 5 29 3 pc-tbed-tpu-05015 1 0 5
354 0 6 29 3 pc-tbed-tpu-05015 1 0 6
355 0 7 29 3 pc-tbed-tpu-05015 1 0 7
356 0 8 29 3 pc-tbed-tpu-05015 1 0 8
357 0 9 29 3 pc-tbed-tpu-05015 1 0 9
358 0 10 29 3 pc-tbed-tpu-05015 1 0 10
359 0 11 29 3 pc-tbed-tpu-05015 1 0 11
360 0 0 30 3 pc-tbed-tpu-05016 0 0 0
361 0 1 30 3 pc-tbed-tpu-05016 0 0 1
362 0 2 30 3 pc-tbed-tpu-05016 0 0 2
363 0 3 30 3 pc-tbed-tpu-05016 0 0 3
364 0 4 30 3 pc-tbed-tpu-05016 0 0 4
365 0 5 30 3 pc-tbed-tpu-05016 0 0 5
366 0 6 30 3 pc-tbed-tpu-05016 0 0 6
367 0 7 30 3 pc-tbed-tpu-05016 0 0 7
